vgs ,M0.m1:vds (V),M0.m1:gm (s),M0.m1:gds (s),M0.m1:cgg (F),M0.m1:cgs (F),M0.m1:vth (V),M0.m1:id (A)
208.0E-3,400.0E-3,481.7E-12,906.2E-15,16.15E-15,-2.159E-15,743.7E-3,18.62E-12
209.0E-3,400.0E-3,494.3E-12,929.9E-15,16.14E-15,-2.159E-15,743.7E-3,19.10E-12
210.0E-3,400.0E-3,507.2E-12,954.3E-15,16.14E-15,-2.159E-15,743.7E-3,19.61E-12
211.0E-3,400.0E-3,520.5E-12,979.3E-15,16.14E-15,-2.159E-15,743.7E-3,20.12E-12
212.0E-3,400.0E-3,534.1E-12,1.005E-12,16.13E-15,-2.159E-15,743.7E-3,20.65E-12
213.0E-3,400.0E-3,548.0E-12,1.031E-12,16.13E-15,-2.160E-15,743.7E-3,21.19E-12
214.0E-3,400.0E-3,562.4E-12,1.058E-12,16.12E-15,-2.160E-15,743.7E-3,21.74E-12
215.0E-3,400.0E-3,577.1E-12,1.086E-12,16.12E-15,-2.160E-15,743.7E-3,22.31E-12
216.0E-3,400.0E-3,592.2E-12,1.115E-12,16.12E-15,-2.160E-15,743.7E-3,22.90E-12
217.0E-3,400.0E-3,607.7E-12,1.144E-12,16.11E-15,-2.160E-15,743.7E-3,23.50E-12
218.0E-3,400.0E-3,623.6E-12,1.174E-12,16.11E-15,-2.160E-15,743.7E-3,24.11E-12
219.0E-3,400.0E-3,639.9E-12,1.204E-12,16.10E-15,-2.160E-15,743.7E-3,24.74E-12
220.0E-3,400.0E-3,656.6E-12,1.236E-12,16.10E-15,-2.160E-15,743.7E-3,25.39E-12
221.0E-3,400.0E-3,673.8E-12,1.268E-12,16.10E-15,-2.161E-15,743.7E-3,26.06E-12
222.0E-3,400.0E-3,691.4E-12,1.302E-12,16.09E-15,-2.161E-15,743.7E-3,26.74E-12
223.0E-3,400.0E-3,709.4E-12,1.336E-12,16.09E-15,-2.161E-15,743.7E-3,27.44E-12
224.0E-3,400.0E-3,728.0E-12,1.371E-12,16.09E-15,-2.161E-15,743.7E-3,28.16E-12
225.0E-3,400.0E-3,747.0E-12,1.407E-12,16.08E-15,-2.161E-15,743.7E-3,28.90E-12
226.0E-3,400.0E-3,766.5E-12,1.443E-12,16.08E-15,-2.161E-15,743.7E-3,29.65E-12
227.0E-3,400.0E-3,786.6E-12,1.481E-12,16.07E-15,-2.161E-15,743.7E-3,30.43E-12
228.0E-3,400.0E-3,807.1E-12,1.520E-12,16.07E-15,-2.161E-15,743.7E-3,31.23E-12
229.0E-3,400.0E-3,828.2E-12,1.560E-12,16.07E-15,-2.162E-15,743.7E-3,32.04E-12
230.0E-3,400.0E-3,849.9E-12,1.601E-12,16.06E-15,-2.162E-15,743.7E-3,32.88E-12
231.0E-3,400.0E-3,872.1E-12,1.643E-12,16.06E-15,-2.162E-15,743.7E-3,33.74E-12
232.0E-3,400.0E-3,894.8E-12,1.686E-12,16.06E-15,-2.162E-15,743.7E-3,34.63E-12
233.0E-3,400.0E-3,918.2E-12,1.730E-12,16.05E-15,-2.162E-15,743.7E-3,35.53E-12
234.0E-3,400.0E-3,942.2E-12,1.775E-12,16.05E-15,-2.162E-15,743.7E-3,36.46E-12
